"NGA","Polity","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note"
"Latium","ItLatCA","Tokens","0","","","","simple","simple",""
"Latium","ItLatCA","Precious metals","0","","","","simple","simple",""
"Latium","ItLatCA","Foreign coins","0","","","","simple","simple",""
"Latium","ItLatCA","Indigenous coins","0","","","","simple","simple",""
"Latium","ItLatCA","Paper currency","0","","","","simple","simple",""
"Latium","ItLatCA","elite status is hereditary","0","","","","complex","uncertain",""
"Latium","ItLatCA","elite status is hereditary","1","","","","complex","uncertain",""
"Latium","ItLatBA","Population of the largest settlement","20","50","-1800","-1200","complex","range","range"
"Latium","ItLatBA","Population of the largest settlement","100","300","-1200","-900","complex","range","range"
"Latium","ItLatBA","Administrative levels","1","2","","","complex","range",""
"Latium","ItLatBA","Military levels","1","","","","simple","simple",""
"Latium","ItLatBA","Religious levels","1","","","","simple","simple",""
"Latium","ItLatBA","Settlement hierarchy","1","","","","simple","simple",""
"Latium","ItLatBA","Professional military officers","0","","","","simple","simple",""
"Latium","ItLatBA","Professional soldiers","0","","","","simple","simple",""
"Latium","ItLatBA","Professional priesthood","0.1","","","","simple","simple",""
"Latium","ItLatBA","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItLatBA","Examination system","0","","","","simple","simple",""
"Latium","ItLatBA","Merit promotion","0","","","","simple","simple",""
"Latium","ItLatBA","Specialized government buildings","0","","","","simple","simple",""
"Latium","ItLatBA","Courts","0","","","","simple","simple",""
"Latium","ItLatBA","Formal legal code","0","","","","simple","simple",""
"Latium","ItLatBA","Judges","0","","","","simple","simple",""
"Latium","ItLatBA","Professional Lawyers","0","","","","simple","simple",""
"Latium","ItLatBA","irrigation systems","0.1","","","","simple","simple",""
"Latium","ItLatBA","drinking water supply systems","0","","","","simple","simple",""
"Latium","ItLatBA","markets","0.1","","","","simple","simple",""
"Latium","ItLatBA","food storage sites","0.1","","","","simple","simple",""
"Latium","ItLatBA","Roads","0","","","","simple","simple",""
"Latium","ItLatBA","Bridges","0","","","","simple","simple",""
"Latium","ItLatBA","Canals","0","","","","simple","simple",""
"Latium","ItLatBA","Ports","0","","","","simple","simple",""
"Latium","ItLatBA","Couriers","0","","","","simple","simple",""
"Latium","ItLatBA","Postal stations","0","","","","simple","simple",""
"Latium","ItLatBA","General postal service","0","","","","simple","simple",""
"Latium","ItLatBA","Nonwritten records","0.9","","","","simple","simple",""
"Latium","ItLatBA","Written records","0.1","","","","simple","simple",""
"Latium","ItLatBA","Script","0.1","","","","simple","simple",""
"Latium","ItLatBA","Non-phonetic writing","0.1","","","","simple","simple",""
"Latium","ItLatBA","Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Latium","ItLatBA","Lists tables and classifications","0","","","","simple","simple",""
"Latium","ItLatBA","Calendar","0","","","","simple","simple",""
"Latium","ItLatBA","Sacred Texts","0.1","","","","simple","simple",""
"Latium","ItLatBA","Religious literature","0.1","","","","simple","simple",""
"Latium","ItLatBA","Practical literature","0.1","","","","simple","simple",""
"Latium","ItLatBA","History","0.1","","","","simple","simple",""
"Latium","ItLatBA","Philosophy","0.1","","","","simple","simple",""
"Latium","ItLatBA","Scientific literature","0.1","","","","simple","simple",""
"Latium","ItLatBA","Fiction","0.1","","","","simple","simple",""
"Latium","ItLatBA","Articles","0.9","","","","simple","simple",""
"Latium","ItLatBA","Foreign coins","0","","","","simple","simple",""
"Latium","ItLatBA","Indigenous coins","0","","","","simple","simple",""
"Latium","ItLatBA","Paper currency","0","","","","simple","simple",""
"Latium","ItLatIA","Population of the largest settlement","100","300","-800","","complex","range","simple"
"Latium","ItLatIA","Administrative levels","1","3","","","complex","range",""
"Latium","ItLatIA","Military levels","1","3","","","complex","range",""
"Latium","ItLatIA","Religious levels","1","","","","simple","simple",""
"Latium","ItLatIA","Settlement hierarchy","1","","","","simple","simple",""
"Latium","ItLatIA","Professional military officers","0","","","","simple","simple",""
"Latium","ItLatIA","Professional soldiers","0","","","","simple","simple",""
"Latium","ItLatIA","Professional priesthood","0.9","","","","simple","simple",""
"Latium","ItLatIA","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItLatIA","Examination system","0","","","","simple","simple",""
"Latium","ItLatIA","Merit promotion","0","","","","simple","simple",""
"Latium","ItLatIA","Specialized government buildings","0","","","","simple","simple",""
"Latium","ItLatIA","Courts","0","","","","simple","simple",""
"Latium","ItLatIA","Formal legal code","0.1","","","","simple","simple",""
"Latium","ItLatIA","Judges","0","","","","simple","simple",""
"Latium","ItLatIA","Professional Lawyers","0","","","","simple","simple",""
"Latium","ItLatIA","irrigation systems","0.1","","","","simple","simple",""
"Latium","ItLatIA","drinking water supply systems","0","","","","simple","simple",""
"Latium","ItLatIA","markets","0.1","","","","simple","simple",""
"Latium","ItLatIA","food storage sites","0.1","","","","simple","simple",""
"Latium","ItLatIA","Bridges","0.1","","","","simple","simple",""
"Latium","ItLatIA","Canals","0","","","","simple","simple",""
"Latium","ItLatIA","Mines or quarries","1","","","","simple","simple",""
"Latium","ItLatIA","Couriers","0.1","","","","simple","simple",""
"Latium","ItLatIA","Postal stations","0","","","","simple","simple",""
"Latium","ItLatIA","General postal service","0","","","","simple","simple",""
"Latium","ItLatIA","Nonwritten records","1","","","","simple","simple",""
"Latium","ItLatIA","Written records","0.1","","","","simple","simple",""
"Latium","ItLatIA","Script","0.1","","","","simple","simple",""
"Latium","ItLatIA","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItLatIA","Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Latium","ItLatIA","Lists tables and classifications","0.1","","","","simple","simple",""
"Latium","ItLatIA","Calendar","0","","","","complex","uncertain",""
"Latium","ItLatIA","Calendar","1","","","","complex","uncertain",""
"Latium","ItLatIA","Sacred Texts","0.1","","","","simple","simple",""
"Latium","ItLatIA","Religious literature","0.1","","","","simple","simple",""
"Latium","ItLatIA","Practical literature","0.1","","","","simple","simple",""
"Latium","ItLatIA","History","0.1","","","","simple","simple",""
"Latium","ItLatIA","Philosophy","0.1","","","","simple","simple",""
"Latium","ItLatIA","Scientific literature","0.1","","","","simple","simple",""
"Latium","ItLatIA","Fiction","0.1","","","","simple","simple",""
"Latium","ItLatIA","Articles","1","","","","simple","simple",""
"Latium","ItLatIA","Indigenous coins","0","","","","simple","simple",""
"Latium","ItLatIA","Paper currency","0","","","","simple","simple",""
"Latium","ItLatIA","elite status is hereditary","0","","","","complex","uncertain",""
"Latium","ItLatIA","elite status is hereditary","1","","","","complex","uncertain",""
"Latium","ItRomRg","Polity Population","20000","50000","","","complex","range",""
"Latium","ItRomRg","Polity territory","1000","","","","simple","simple",""
"Latium","ItRomRg","Population of the largest settlement","4000","16000","-700","","complex","range","simple"
"Latium","ItRomRg","Population of the largest settlement","14250","57000","-600","","complex","range","simple"
"Latium","ItRomRg","Administrative levels","3","","","","simple","simple",""
"Latium","ItRomRg","Military levels","4","5","","","complex","range",""
"Latium","ItRomRg","Religious levels","1","2","","","complex","range",""
"Latium","ItRomRg","Settlement hierarchy","2","3","","","complex","range",""
"Latium","ItRomRg","Professional military officers","0","","","","simple","simple",""
"Latium","ItRomRg","Professional soldiers","0","","","","simple","simple",""
"Latium","ItRomRg","Professional priesthood","0.9","","","","simple","simple",""
"Latium","ItRomRg","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomRg","Examination system","0","","","","simple","simple",""
"Latium","ItRomRg","Merit promotion","0","","","","simple","simple",""
"Latium","ItRomRg","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomRg","Courts","0","","","","simple","simple",""
"Latium","ItRomRg","Formal legal code","1","","-716","-600","complex","uncertain","range"
"Latium","ItRomRg","Formal legal code","0","","-716","-600","complex","uncertain","range"
"Latium","ItRomRg","Formal legal code","0.9","","-600","-509","complex","simple","range"
"Latium","ItRomRg","Judges","0","","","","simple","simple",""
"Latium","ItRomRg","Professional Lawyers","0","","","","simple","simple",""
"Latium","ItRomRg","irrigation systems","0.1","","","","simple","simple",""
"Latium","ItRomRg","drinking water supply systems","0","","","","simple","simple",""
"Latium","ItRomRg","markets","1","","","","simple","simple",""
"Latium","ItRomRg","food storage sites","0.9","","","","simple","simple",""
"Latium","ItRomRg","Roads","0.9","","","","simple","simple",""
"Latium","ItRomRg","Bridges","1","","","","simple","simple",""
"Latium","ItRomRg","Canals","0","","","","simple","simple",""
"Latium","ItRomRg","Ports","0","","","","complex","disputed",""
"Latium","ItRomRg","Ports","1","","","","complex","disputed",""
"Latium","ItRomRg","Mines or quarries","1","","","","simple","simple",""
"Latium","ItRomRg","Couriers","0.9","","","","simple","simple",""
"Latium","ItRomRg","Postal stations","0","","","","simple","simple",""
"Latium","ItRomRg","General postal service","0","","","","simple","simple",""
"Latium","ItRomRg","Nonwritten records","1","","","","simple","simple",""
"Latium","ItRomRg","Written records","1","","","","simple","simple",""
"Latium","ItRomRg","Script","1","","","","simple","simple",""
"Latium","ItRomRg","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItRomRg","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItRomRg","Calendar","1","","","","simple","simple",""
"Latium","ItRomRg","Sacred Texts","1","","","","simple","simple",""
"Latium","ItRomRg","Religious literature","1","","","","simple","simple",""
"Latium","ItRomRg","Practical literature","0.9","","","","simple","simple",""
"Latium","ItRomRg","Articles","1","","","","simple","simple",""
"Latium","ItRomRg","Foreign coins","1","","","","simple","simple",""
"Latium","ItRomRg","Indigenous coins","0","","","","simple","simple",""
"Latium","ItRomRg","Paper currency","0","","","","simple","simple",""
"Latium","ItRomRg","elite status is hereditary","1","","","","simple","simple",""
"Latium","ItRomRg","formal system of hereditary social status","0.9","","","","simple","simple",""
"Latium","ItRomER","Polity Population","100000","","-500","","complex","simple","simple"
"Latium","ItRomER","Polity Population","150000","","-400","","complex","simple","simple"
"Latium","ItRomER","Polity Population","500000","1000000","-300","","complex","range","simple"
"Latium","ItRomER","Polity territory","1000","","-500","","complex","simple","simple"
"Latium","ItRomER","Polity territory","1000","","-400","","complex","simple","simple"
"Latium","ItRomER","Polity territory","25000","30000","-300","","complex","range","simple"
"Latium","ItRomER","Population of the largest settlement","30000","","-500","","complex","simple","simple"
"Latium","ItRomER","Population of the largest settlement","30000","","-400","","complex","simple","simple"
"Latium","ItRomER","Population of the largest settlement","50000","60000","-300","","complex","range","simple"
"Latium","ItRomER","Administrative levels","3","","","","simple","simple",""
"Latium","ItRomER","Military levels","6","","","","simple","simple",""
"Latium","ItRomER","Religious levels","4","","","","simple","simple",""
"Latium","ItRomER","Settlement hierarchy","2","","-500","","complex","simple","simple"
"Latium","ItRomER","Settlement hierarchy","2","","-400","","complex","simple","simple"
"Latium","ItRomER","Settlement hierarchy","5","","-300","","complex","simple","simple"
"Latium","ItRomER","Professional military officers","0","","","","simple","simple",""
"Latium","ItRomER","Professional soldiers","0","","-500","","complex","simple","simple"
"Latium","ItRomER","Professional soldiers","1","","-400","","complex","disputed","simple"
"Latium","ItRomER","Professional soldiers","0","","-400","","complex","disputed","simple"
"Latium","ItRomER","Professional soldiers","1","","-300","","complex","disputed","simple"
"Latium","ItRomER","Professional soldiers","0","","-300","","complex","disputed","simple"
"Latium","ItRomER","Professional priesthood","1","","","","simple","simple",""
"Latium","ItRomER","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomER","Examination system","0","","","","simple","simple",""
"Latium","ItRomER","Merit promotion","0","","","","simple","simple",""
"Latium","ItRomER","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomER","Courts","0","","","","simple","simple",""
"Latium","ItRomER","Formal legal code","1","","","","simple","simple",""
"Latium","ItRomER","Judges","0","","","","simple","simple",""
"Latium","ItRomER","Professional Lawyers","0","","","","complex","disputed",""
"Latium","ItRomER","Professional Lawyers","1","","","","complex","disputed",""
"Latium","ItRomER","irrigation systems","0","","","","simple","simple",""
"Latium","ItRomER","drinking water supply systems","1","","","","simple","simple",""
"Latium","ItRomER","markets","1","","","","simple","simple",""
"Latium","ItRomER","food storage sites","1","","","","simple","simple",""
"Latium","ItRomER","Roads","1","","","","simple","simple",""
"Latium","ItRomER","Bridges","1","","","","simple","simple",""
"Latium","ItRomER","Canals","0","","","","simple","simple",""
"Latium","ItRomER","Ports","0.9","","","","simple","simple",""
"Latium","ItRomER","Mines or quarries","1","","","","simple","simple",""
"Latium","ItRomER","Couriers","1","","","","simple","simple",""
"Latium","ItRomER","Postal stations","0","","","","simple","simple",""
"Latium","ItRomER","General postal service","0","","","","simple","simple",""
"Latium","ItRomER","Nonwritten records","1","","","","simple","simple",""
"Latium","ItRomER","Written records","1","","","","simple","simple",""
"Latium","ItRomER","Script","1","","","","simple","simple",""
"Latium","ItRomER","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItRomER","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItRomER","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItRomER","Calendar","1","","","","simple","simple",""
"Latium","ItRomER","Sacred Texts","1","","","","simple","simple",""
"Latium","ItRomER","Religious literature","1","","","","simple","simple",""
"Latium","ItRomER","Practical literature","1","","","","simple","simple",""
"Latium","ItRomER","History","0.9","","","","simple","simple",""
"Latium","ItRomER","Philosophy","0.9","","","","simple","simple",""
"Latium","ItRomER","Scientific literature","0.9","","","","simple","simple",""
"Latium","ItRomER","Fiction","0.9","","","","simple","simple",""
"Latium","ItRomER","Articles","1","","","","simple","simple",""
"Latium","ItRomER","Tokens","0","","","","complex","disputed",""
"Latium","ItRomER","Tokens","1","","","","complex","disputed",""
"Latium","ItRomER","Precious metals","1","","","","simple","simple",""
"Latium","ItRomER","Foreign coins","1","","","","simple","simple",""
"Latium","ItRomER","Indigenous coins","1","","","","simple","simple",""
"Latium","ItRomER","Paper currency","0","","","","simple","simple",""
"Latium","ItRomER","elite status is hereditary","1","","","","simple","simple",""
"Latium","ItRomER","formal system of hereditary social status","1","","","","simple","simple",""
"Latium","ItRomMR","Polity Population","3500000","4000000","","","complex","range",""
"Latium","ItRomMR","Polity territory","730000","","","","simple","simple",""
"Latium","ItRomMR","Population of the largest settlement","210000","","-200","","complex","simple","simple"
"Latium","ItRomMR","Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Latium","ItRomMR","Administrative levels","3","4","","","complex","range",""
"Latium","ItRomMR","Military levels","6","","","","simple","simple",""
"Latium","ItRomMR","Religious levels","4","","","","simple","simple",""
"Latium","ItRomMR","Settlement hierarchy","5","","","","simple","simple",""
"Latium","ItRomMR","Professional military officers","0","","","","simple","simple",""
"Latium","ItRomMR","Professional soldiers","1","","-200","","complex","disputed","simple"
"Latium","ItRomMR","Professional soldiers","0","","-200","","complex","disputed","simple"
"Latium","ItRomMR","Professional priesthood","1","","","","simple","simple",""
"Latium","ItRomMR","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomMR","Examination system","0","","","","simple","simple",""
"Latium","ItRomMR","Merit promotion","0","","","","simple","simple",""
"Latium","ItRomMR","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomMR","Courts","0","","","","simple","simple",""
"Latium","ItRomMR","Formal legal code","1","","","","simple","simple",""
"Latium","ItRomMR","Judges","0","","","","simple","simple",""
"Latium","ItRomMR","Professional Lawyers","0","","","","complex","disputed",""
"Latium","ItRomMR","Professional Lawyers","1","","","","complex","disputed",""
"Latium","ItRomMR","irrigation systems","1","","","","simple","simple",""
"Latium","ItRomMR","drinking water supply systems","1","","","","simple","simple",""
"Latium","ItRomMR","markets","1","","","","simple","simple",""
"Latium","ItRomMR","food storage sites","1","","","","simple","simple",""
"Latium","ItRomMR","Roads","1","","","","simple","simple",""
"Latium","ItRomMR","Bridges","1","","","","simple","simple",""
"Latium","ItRomMR","Canals","1","","","","simple","simple",""
"Latium","ItRomMR","Ports","1","","","","simple","simple",""
"Latium","ItRomMR","Mines or quarries","1","","","","simple","simple",""
"Latium","ItRomMR","Couriers","1","","","","simple","simple",""
"Latium","ItRomMR","Postal stations","0","","","","simple","simple",""
"Latium","ItRomMR","General postal service","0","","","","simple","simple",""
"Latium","ItRomMR","Nonwritten records","1","","","","simple","simple",""
"Latium","ItRomMR","Written records","1","","","","simple","simple",""
"Latium","ItRomMR","Script","1","","","","simple","simple",""
"Latium","ItRomMR","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItRomMR","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItRomMR","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItRomMR","Calendar","1","","","","simple","simple",""
"Latium","ItRomMR","Sacred Texts","1","","","","simple","simple",""
"Latium","ItRomMR","Religious literature","1","","","","simple","simple",""
"Latium","ItRomMR","Practical literature","1","","","","simple","simple",""
"Latium","ItRomMR","History","1","","","","simple","simple",""
"Latium","ItRomMR","Philosophy","0.9","","","","simple","simple",""
"Latium","ItRomMR","Scientific literature","0.9","","","","simple","simple",""
"Latium","ItRomMR","Fiction","1","","","","simple","simple",""
"Latium","ItRomMR","Articles","1","","","","simple","simple",""
"Latium","ItRomMR","Tokens","0","","","","simple","simple",""
"Latium","ItRomMR","Precious metals","1","","","","simple","simple",""
"Latium","ItRomMR","Foreign coins","1","","","","simple","simple",""
"Latium","ItRomMR","Indigenous coins","1","","","","simple","simple",""
"Latium","ItRomMR","Paper currency","0","","","","simple","simple",""
"Latium","ItRomMR","elite status is hereditary","1","","","","simple","simple",""
"Latium","ItRomMR","formal system of hereditary social status","1","","","","simple","simple",""
"Paris Basin","ItRomLR","Polity Population","25000000","35000000","","","complex","range",""
"Latium","ItRomLR","Polity Population","25000000","35000000","","","complex","range",""
"Konya Plain","ItRomLR","Polity Population","25000000","35000000","","","complex","range",""
"Crete","ItRomLR","Polity Population","25000000","35000000","","","complex","range",""
"Galilee","ItRomLR","Polity Population","25000000","35000000","","","complex","range",""
"Paris Basin","ItRomLR","Polity territory","3500000","","","","simple","simple",""
"Latium","ItRomLR","Polity territory","3500000","","","","simple","simple",""
"Konya Plain","ItRomLR","Polity territory","3500000","","","","simple","simple",""
"Crete","ItRomLR","Polity territory","3500000","","","","simple","simple",""
"Galilee","ItRomLR","Polity territory","3500000","","","","simple","simple",""
"Paris Basin","ItRomLR","Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Latium","ItRomLR","Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Konya Plain","ItRomLR","Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Crete","ItRomLR","Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Galilee","ItRomLR","Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Paris Basin","ItRomLR","Administrative levels","3","4","","","complex","range",""
"Latium","ItRomLR","Administrative levels","3","4","","","complex","range",""
"Konya Plain","ItRomLR","Administrative levels","3","4","","","complex","range",""
"Crete","ItRomLR","Administrative levels","3","4","","","complex","range",""
"Galilee","ItRomLR","Administrative levels","3","4","","","complex","range",""
"Paris Basin","ItRomLR","Military levels","7","","","","simple","simple",""
"Latium","ItRomLR","Military levels","7","","","","simple","simple",""
"Konya Plain","ItRomLR","Military levels","7","","","","simple","simple",""
"Crete","ItRomLR","Military levels","7","","","","simple","simple",""
"Galilee","ItRomLR","Military levels","7","","","","simple","simple",""
"Paris Basin","ItRomLR","Religious levels","4","","","","simple","simple",""
"Latium","ItRomLR","Religious levels","4","","","","simple","simple",""
"Konya Plain","ItRomLR","Religious levels","4","","","","simple","simple",""
"Crete","ItRomLR","Religious levels","4","","","","simple","simple",""
"Galilee","ItRomLR","Religious levels","4","","","","simple","simple",""
"Paris Basin","ItRomLR","Settlement hierarchy","7","","","","simple","simple",""
"Latium","ItRomLR","Settlement hierarchy","7","","","","simple","simple",""
"Konya Plain","ItRomLR","Settlement hierarchy","7","","","","simple","simple",""
"Crete","ItRomLR","Settlement hierarchy","7","","","","simple","simple",""
"Galilee","ItRomLR","Settlement hierarchy","7","","","","simple","simple",""
"Paris Basin","ItRomLR","Professional military officers","1","","","","complex","disputed",""
"Paris Basin","ItRomLR","Professional military officers","0","","","","complex","disputed",""
"Latium","ItRomLR","Professional military officers","1","","","","complex","disputed",""
"Latium","ItRomLR","Professional military officers","0","","","","complex","disputed",""
"Konya Plain","ItRomLR","Professional military officers","1","","","","complex","disputed",""
"Konya Plain","ItRomLR","Professional military officers","0","","","","complex","disputed",""
"Crete","ItRomLR","Professional military officers","1","","","","complex","disputed",""
"Crete","ItRomLR","Professional military officers","0","","","","complex","disputed",""
"Galilee","ItRomLR","Professional military officers","1","","","","complex","disputed",""
"Galilee","ItRomLR","Professional military officers","0","","","","complex","disputed",""
"Paris Basin","ItRomLR","Professional soldiers","1","","-100","","complex","disputed","simple"
"Paris Basin","ItRomLR","Professional soldiers","0","","-100","","complex","disputed","simple"
"Latium","ItRomLR","Professional soldiers","1","","-100","","complex","disputed","simple"
"Latium","ItRomLR","Professional soldiers","0","","-100","","complex","disputed","simple"
"Konya Plain","ItRomLR","Professional soldiers","1","","-100","","complex","disputed","simple"
"Konya Plain","ItRomLR","Professional soldiers","0","","-100","","complex","disputed","simple"
"Crete","ItRomLR","Professional soldiers","1","","-100","","complex","disputed","simple"
"Crete","ItRomLR","Professional soldiers","0","","-100","","complex","disputed","simple"
"Galilee","ItRomLR","Professional soldiers","1","","-100","","complex","disputed","simple"
"Galilee","ItRomLR","Professional soldiers","0","","-100","","complex","disputed","simple"
"Paris Basin","ItRomLR","Professional priesthood","1","","","","simple","simple",""
"Latium","ItRomLR","Professional priesthood","1","","","","simple","simple",""
"Konya Plain","ItRomLR","Professional priesthood","1","","","","simple","simple",""
"Crete","ItRomLR","Professional priesthood","1","","","","simple","simple",""
"Galilee","ItRomLR","Professional priesthood","1","","","","simple","simple",""
"Paris Basin","ItRomLR","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomLR","Full-time bureaucrats","0","","","","simple","simple",""
"Konya Plain","ItRomLR","Full-time bureaucrats","0","","","","simple","simple",""
"Crete","ItRomLR","Full-time bureaucrats","0","","","","simple","simple",""
"Galilee","ItRomLR","Full-time bureaucrats","0","","","","simple","simple",""
"Paris Basin","ItRomLR","Examination system","0","","","","simple","simple",""
"Latium","ItRomLR","Examination system","0","","","","simple","simple",""
"Konya Plain","ItRomLR","Examination system","0","","","","simple","simple",""
"Crete","ItRomLR","Examination system","0","","","","simple","simple",""
"Galilee","ItRomLR","Examination system","0","","","","simple","simple",""
"Paris Basin","ItRomLR","Merit promotion","0.1","","","","simple","simple",""
"Latium","ItRomLR","Merit promotion","0.1","","","","simple","simple",""
"Konya Plain","ItRomLR","Merit promotion","0.1","","","","simple","simple",""
"Crete","ItRomLR","Merit promotion","0.1","","","","simple","simple",""
"Galilee","ItRomLR","Merit promotion","0.1","","","","simple","simple",""
"Paris Basin","ItRomLR","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomLR","Specialized government buildings","1","","","","simple","simple",""
"Konya Plain","ItRomLR","Specialized government buildings","1","","","","simple","simple",""
"Crete","ItRomLR","Specialized government buildings","1","","","","simple","simple",""
"Galilee","ItRomLR","Specialized government buildings","1","","","","simple","simple",""
"Paris Basin","ItRomLR","Courts","0","","","","simple","simple",""
"Latium","ItRomLR","Courts","0","","","","simple","simple",""
"Konya Plain","ItRomLR","Courts","0","","","","simple","simple",""
"Crete","ItRomLR","Courts","0","","","","simple","simple",""
"Galilee","ItRomLR","Courts","0","","","","simple","simple",""
"Paris Basin","ItRomLR","Formal legal code","1","","","","simple","simple",""
"Latium","ItRomLR","Formal legal code","1","","","","simple","simple",""
"Konya Plain","ItRomLR","Formal legal code","1","","","","simple","simple",""
"Crete","ItRomLR","Formal legal code","1","","","","simple","simple",""
"Galilee","ItRomLR","Formal legal code","1","","","","simple","simple",""
"Paris Basin","ItRomLR","Judges","0","","","","simple","simple",""
"Latium","ItRomLR","Judges","0","","","","simple","simple",""
"Konya Plain","ItRomLR","Judges","0","","","","simple","simple",""
"Crete","ItRomLR","Judges","0","","","","simple","simple",""
"Galilee","ItRomLR","Judges","0","","","","simple","simple",""
"Paris Basin","ItRomLR","Professional Lawyers","0","","","","simple","simple",""
"Latium","ItRomLR","Professional Lawyers","0","","","","simple","simple",""
"Konya Plain","ItRomLR","Professional Lawyers","0","","","","simple","simple",""
"Crete","ItRomLR","Professional Lawyers","0","","","","simple","simple",""
"Galilee","ItRomLR","Professional Lawyers","0","","","","simple","simple",""
"Paris Basin","ItRomLR","irrigation systems","1","","","","simple","simple",""
"Latium","ItRomLR","irrigation systems","1","","","","simple","simple",""
"Konya Plain","ItRomLR","irrigation systems","1","","","","simple","simple",""
"Crete","ItRomLR","irrigation systems","1","","","","simple","simple",""
"Galilee","ItRomLR","irrigation systems","1","","","","simple","simple",""
"Paris Basin","ItRomLR","drinking water supply systems","1","","","","simple","simple",""
"Latium","ItRomLR","drinking water supply systems","1","","","","simple","simple",""
"Konya Plain","ItRomLR","drinking water supply systems","1","","","","simple","simple",""
"Crete","ItRomLR","drinking water supply systems","1","","","","simple","simple",""
