,Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money
11,AfGhurd-5,['Kachi Plain'],Principality of Ghur,1191.0,1199.0,,900000,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,5.954242509439325,,2.0,0.45454545454545453,0.7777777777777778,4.0,0.8888888888888888,5.0
12,AfGhurd-6,['Kachi Plain'],Principality of Ghur,1199.0,1214.0,,1600000,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655925,,3.3333333333333335,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0
13,AfGhurd-7,['Kachi Plain'],Principality of Ghur,1214.0,2014.0,,1600000,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655925,,3.3333333333333335,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0
14,AfGrBct-1,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-256.0,-200.0,,,25000,,5.0,1.0,3.0,600,,,1.0,1.0,1.0,0.1,0.1,land,1.0,,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.1,,1.0,-180.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0.0,1.0,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,,,4.3979400086720375,3.0,0.5636363636363636,0.8999999999999999,4.0,1.0,5.0
16,AfGrBct-2,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-200.0,-180.0,1500000.0,600000,25000,5,5.0,1.0,3.0,600,,,1.0,1.0,1.0,0.1,0.1,land,1.0,,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.1,,1.0,-180.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0.0,1.0,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.176091259055681,5.778151250383644,4.3979400086720375,3.0,0.5636363636363636,0.8999999999999999,4.0,1.0,5.0
18,AfGrBct-3,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-180.0,-150.0,1500000.0,2200000,25000,5,5.0,1.0,3.0,600,,,1.0,1.0,1.0,0.1,0.1,land,1.0,,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.1,,1.0,-180.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0.0,1.0,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.176091259055681,6.342422680822207,4.3979400086720375,3.0,0.5636363636363636,0.8999999999999999,4.0,1.0,5.0
20,AfGrBct-4,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-150.0,-125.0,1500000.0,2200000,25000,4,5.0,1.0,3.0,600,,,1.0,1.0,1.0,0.1,0.1,land,1.0,,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.1,,1.0,-180.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0.0,1.0,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.176091259055681,6.342422680822207,4.3979400086720375,3.0,0.5636363636363636,0.8999999999999999,4.0,1.0,5.0
22,AfHepht-1,"['Kachi Plain', 'Sogdiana']",Hepthalite Empire,407.0,449.0,,,,4,4.0,1.0,2.0,2000,,,1.0,1.0,1.0,0.0,0.1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,514.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Sakala,confederated state,Bactrian,Indo-European,Sassanid Empire,elite migration,Western Turk Khaganate,Steppe nomads,7500000,vassalage,inactive,0.5,1.0,0.1,,No Roz,not applicable,yearly,yearly,mourning ritual,,,once in a lifetime,banquet,not applicable,,,morning prayer,daily,daily,daily,Yasna,daily,daily,daily,,,,,2.3333333333333335,0.4636363636363636,0.6666666666666666,4.0,0.6666666666666666,5.0
24,AfHepht-2,"['Kachi Plain', 'Sogdiana']",Hepthalite Empire,449.0,486.0,,1000000,,4,4.0,1.0,2.0,2000,,,1.0,1.0,1.0,0.0,0.1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,514.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Sakala,confederated state,Bactrian,Indo-European,Sassanid Empire,elite migration,Western Turk Khaganate,Steppe nomads,7500000,vassalage,inactive,0.5,1.0,0.1,,No Roz,not applicable,yearly,yearly,mourning ritual,,,once in a lifetime,banquet,not applicable,,,morning prayer,daily,daily,daily,Yasna,daily,daily,daily,,,6.0,,2.3333333333333335,0.4636363636363636,0.6666666666666666,4.0,0.6666666666666666,5.0
26,AfHepht-3,"['Kachi Plain', 'Sogdiana']",Hepthalite Empire,486.0,487.0,,1000000,,4,4.0,1.0,2.0,2000,,,1.0,1.0,1.0,0.0,0.1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,514.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Sakala,confederated state,Bactrian,Indo-European,Sassanid Empire,elite migration,Western Turk Khaganate,Steppe nomads,7500000,vassalage,inactive,0.5,1.0,0.1,,No Roz,not applicable,yearly,yearly,mourning ritual,,,once in a lifetime,banquet,not applicable,,,morning prayer,daily,daily,daily,Yasna,daily,daily,daily,,,6.0,,2.3333333333333335,0.4636363636363636,0.6666666666666666,4.0,0.6666666666666666,5.0
28,AfHepht-4,"['Kachi Plain', 'Sogdiana']",Hepthalite Empire,487.0,499.0,,1000000,,4,4.0,1.0,2.0,2000,,,1.0,1.0,1.0,0.0,0.1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,514.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Sakala,confederated state,Bactrian,Indo-European,Sassanid Empire,elite migration,Western Turk Khaganate,Steppe nomads,7500000,vassalage,inactive,0.5,1.0,0.1,,No Roz,not applicable,yearly,yearly,mourning ritual,,,once in a lifetime,banquet,not applicable,,,morning prayer,daily,daily,daily,Yasna,daily,daily,daily,,,6.0,,2.3333333333333335,0.4636363636363636,0.6666666666666666,4.0,1.0,5.0
30,AfHepht-5,"['Kachi Plain', 'Sogdiana']",Hepthalite Empire,499.0,560.0,26500000.0,2750000,,4,4.0,1.0,2.0,2000,,,1.0,1.0,1.0,0.0,0.1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,514.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Sakala,confederated state,Bactrian,Indo-European,Sassanid Empire,elite migration,Western Turk Khaganate,Steppe nomads,7500000,vassalage,inactive,0.5,1.0,0.1,,No Roz,not applicable,yearly,yearly,mourning ritual,,,once in a lifetime,banquet,not applicable,,,morning prayer,daily,daily,daily,Yasna,daily,daily,daily,,7.423245873936808,6.439332693830263,,2.3333333333333335,0.4636363636363636,0.6666666666666666,4.0,1.0,5.0
