Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0,CC_PolPop_Regression_x1,CC_PolPop_Regression_x2,CC_PolTerr_Regression_x0,CC_PolTerr_Regression_x1,CC_PolTerr_Regression_x2,CC_CapPop_Regression_x0,CC_CapPop_Regression_x1,CC_CapPop_Regression_x2,CC_Hier_Regression_x0,CC_Hier_Regression_x1,CC_Hier_Regression_x2,CC_Govt_Regression_x0,CC_Govt_Regression_x1,CC_Govt_Regression_x2,CC_Infra_Regression_x0,CC_Infra_Regression_x1,CC_Infra_Regression_x2,CC_Writing_Regression_x0,CC_Writing_Regression_x1,CC_Writing_Regression_x2,CC_Texts_Regression_x0,CC_Texts_Regression_x1,CC_Texts_Regression_x2,CC_Money_Regression_x0,CC_Money_Regression_x1,CC_Money_Regression_x2
CnQingL+2000,"['Middle Yellow River Valley', 'Orkhon Valley']",Late Qing,2000,2100,334000000,11300000,1104372,7,10,3,7,3270,,1,1,1,,1,1,state salary,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,80,2000,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1850,"['50S', '48T']","['East Asia', 'Central Eurasia']",Beijing,unitary state,Chinese,Sino-Tibetan,Early Qing,continuity,Republic of China,China,11300000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,yearly,yearly,yearly,New Year celebrations,yearly,yearly,yearly,daily Kunninggong sacrifices,daily,daily,daily,ancestor worship,not applicable,monthly,monthly,,8.52374646681156,7.05307844348342,6.04311538710192,6.66666666666667,0.909090909090909,0.9,4,1,6,CnQingL,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",229.810025292957,9.18584940133883,8.52374646681156,197.274448747344,7.60094362847738,7.05307844348342,175.486664808384,6.51252921200464,6.04311538710192,140.333333333333,7.18451636816843,6.66666666666667,23.3,0.979706777477514,0.909090909090909,25.0555555555556,0.969909709702738,0.9,119,4.31070982090106,4,26,1.07767745522526,1,142,6.46606473135159,6
MnXngnM-200,['Orkhon Valley'],Xiongnu Imperial Confederation,-200,-100,1500000,4000000,3000,3,6,1,2,,,0.1,0.1,0.1,0.1,,0.1,governed population,1,0.1,1,0.1,0.1,1,0.1,1,1,0.1,,0.1,,0,0.1,0.1,,,,,0,0.1,1,1,1,0.1,1,,,,0.1,,0.1,,,,,,,,0,1,0.1,0.1,0.1,,0.1,0,1,0,1,0,0,0,0,0,0,0,,0.1,,,,['48T'],['Central Eurasia'],none,confederated state,Xiongnu,Turkic,Early Xiongnu,continuity,Late Xiongnu,,,,,,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,blood brotherhood ritual,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,,,,,,,,,,6.17609125905568,6.60205999132796,3.47712125471966,3,0.336363636363636,0.055555555555556,2,0,1,MnXngnM,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1.55330574325715,0,0,1.66043817549191,0,0,0.874506575180264,0,0,0.754509127911419,0,0,0.084596477977947,0,0,0.013972391257619,0,0,0.50300608527428,0,0,0,0,0,0.25150304263714,0
MnXngnM-100,['Orkhon Valley'],Xiongnu Imperial Confederation,-100,0,1500000,4000000,3000,3,6,1,2,,,0.1,0.1,0.1,0.1,,0.1,governed population,1,0.1,1,0.1,0.1,1,0.1,1,1,0.1,,0.1,,0,0.1,0.1,,,,,0,0.1,1,1,1,0.1,1,,,,0.1,,0.1,,,,,,,,0,1,0.1,0.1,0.1,,0.1,0,1,0,1,0,0,0,0,0,0,0,,0.1,,,,['48T'],['Central Eurasia'],none,confederated state,Xiongnu,Turkic,Early Xiongnu,continuity,Late Xiongnu,,,,,,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,blood brotherhood ritual,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,,,,,,,,,,6.17609125905568,6.60205999132796,3.47712125471966,3,0.336363636363636,0.055555555555556,2,0,1,MnXngnM,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",6.17609125905568,0.789725642459216,0,6.60205999132796,0.844193495450867,0,3.47712125471966,0.444613219204914,0,3,0.383604585489867,0,0.336363636363636,0.043010211100379,0,0.055555555555556,0.007103788620183,0,2,0.255736390326578,0,0,0,0,1,0.127868195163289,0
MnXngnM+0,['Orkhon Valley'],Xiongnu Imperial Confederation,0,100,1500000,4000000,3000,3,6,1,2,,,0.1,0.1,0.1,0.1,,0.1,governed population,1,0.1,1,0.1,0.1,1,0.1,1,1,0.1,,0.1,,0,0.1,0.1,,,,,0,0.1,1,1,1,0.1,1,,,,0.1,,0.1,,,,,,,,0,1,0.1,0.1,0.1,,0.1,0,1,0,1,0,0,0,0,0,0,0,,0.1,,,,['48T'],['Central Eurasia'],none,confederated state,Xiongnu,Turkic,Early Xiongnu,continuity,Late Xiongnu,,,,,,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,blood brotherhood ritual,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,,,,,,,,,,6.17609125905568,6.60205999132796,3.47712125471966,3,0.336363636363636,0.055555555555556,2,0,1,MnXngnM,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",12.3521825181114,6.96410421976854,6.17609125905568,13.2041199826559,7.44442268034135,6.60205999132796,6.95424250943933,3.92077023912735,3.47712125471966,6,3.38277266040593,3,0.672727272727273,0.379280571015211,0.336363636363636,0.111111111111111,0.062643938155666,0.055555555555556,4,2.25518177360395,2,0,0,0,2,1.12759088680198,1
MnXngnL+0,['Orkhon Valley'],Late Xiongnu,0,100,1000000,3000000,3000,3,6,1,2,,,0.1,0.1,0.1,0.1,0.1,0.1,governed population,1,0.1,1,0.1,0.1,1,0.1,1,1,0.1,,0.1,,0,0.1,0.1,,,,,0,0.1,1,1,1,0.1,1,,,,0.1,,0.1,,,,,,,,0,1,0.1,0.1,0.1,,0.1,0,1,0,1,0,0,0,0,0,0,0,,0.1,,,,['48T'],['Central Eurasia'],,confederated state,Xiongnu,Turkic,Xiongnu Imperial Confederation,continuity,Xianbei Confederation,,,,,,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,blood brotherhood ritual,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,,,,,,,,,,6,6.47712125471966,3.47712125471966,3,0.345454545454545,0.055555555555556,2,0,1,MnXngnL,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,6.76554532081187,6,0,7.30354289953328,6.47712125471966,0,3.92077023912735,3.47712125471966,0,3.38277266040593,3,0,0.389531397258865,0.345454545454545,0,0.062643938155666,0.055555555555556,0,2.25518177360395,2,0,0,0,0,1.12759088680198,1
MnXngnL+100,['Orkhon Valley'],Late Xiongnu,100,200,1000000,3000000,3000,3,6,1,2,,,0.1,0.1,0.1,0.1,0.1,0.1,governed population,1,0.1,1,0.1,0.1,1,0.1,1,1,0.1,,0.1,,0,0.1,0.1,,,,,0,0.1,1,1,1,0.1,1,,,,0.1,,0.1,,,,,,,,0,1,0.1,0.1,0.1,,0.1,0,1,0,1,0,0,0,0,0,0,0,,0.1,,,,['48T'],['Central Eurasia'],,confederated state,Xiongnu,Turkic,Xiongnu Imperial Confederation,continuity,Xianbei Confederation,,,,,,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,blood brotherhood ritual,,,,thrice-yearly gathering,seasonally,seasonally,seasonally,,,,,,,,,,6,6.47712125471966,3.47712125471966,3,0.345454545454545,0.055555555555556,2,0,1,MnXngnL,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",18.528273777167,0.022385181843575,0,19.8061799739839,0.024165256184964,0,10.431363764159,0.012972665263176,0,9,0.011192590921787,0,1.00909090909091,0.001288843803115,0,0.166666666666667,0.000207270202255,0,6,0.007461727281192,0,0,0,0,3,0.003730863640596,0
CnTangE+700,"['Middle Yellow River Valley', 'Orkhon Valley']",Tang Dynasty,700,800,37000000,5067000,1000000,7,8,2,3,1400,,1,1,1,0,1,1,state,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,2080,50,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0.1,1,1,,,1,1,1,739,"['50S', '48T']","['East Asia', 'Central Eurasia']",Chang'an,unitary state,Chinese,Sino-Tibetan,Sui Dynasty,continuation,Tang Dynasty,China,5000000,none,,1,1,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.568201724067,6.70475090429067,6,4.33333333333333,0.909090909090909,0.9,4,1,5,CnTangE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",24.528273777167,26.8669090715062,15.136403448134,26.2833012287035,23.8016822833675,13.4095018085813,13.9084850188787,21.299835853531,12,12,15.3832147831057,8.66666666666667,1.35454545454545,3.22724785659561,1.81818181818182,0.222222222222222,3.19497537802965,1.8,8,14.1998905690207,8,0,3.54997264225517,2,4,17.7498632112758,10
CnTangE+800,"['Middle Yellow River Valley', 'Orkhon Valley']",Tang Dynasty,800,900,52800000,4100000,1000000,7,8,2,3,1400,,1,1,1,1,1,1,state,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,2080,50,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0.1,1,1,,,1,1,1,739,"['50S', '48T']","['East Asia', 'Central Eurasia']",Chang'an,unitary state,Chinese,Sino-Tibetan,Sui Dynasty,continuation,Tang Dynasty,China,5000000,none,,1,1,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.72263392253381,6.61278385671974,6,4.33333333333333,1,0.9,4,1,5,CnTangE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",32.096475501234,25.6902086240879,15.4452678450676,32.9880521329942,21.9981677973143,13.2255677134395,19.9084850188786,19.9596735117483,12,16.3333333333333,14.4153197584849,8.66666666666667,2.26363636363636,3.32661225195806,2,1.12222222222222,2.99395102676225,1.8,12,13.3064490078322,8,1,3.32661225195806,2,9,16.6330612597903,10
MnMongE+1000,['Orkhon Valley'],The Early Mongols,1000,1100,80000,70000,500,2,5,1,1,,,0,1,1,1,0.1,,0.1,0,0,1,0,0,1,0,1,,0,,0,0,0,0,0,,,16,3,0,0,,,0,0,,0,,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,5,0,0,0,1205,['48T'],['Central Eurasia'],,quasipolity,Naimans,Turkic,Khitan Empire,,Mongolian Empire,,,alliance,,,,,,Great Quriltai,not applicable,yearly,yearly,blood brotherhood ritual,not applicable,not applicable,,drinking gatherings,daily,daily,daily,divination,daily,daily,daily,divination,daily,daily,daily,,4.90308998699194,4.84509804001426,2.69897000433602,2.33333333333333,0.372727272727273,0,3,0,1,MnMongE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",39.8191094237679,1.36127519721602,1.22577249674799,39.600835989714,1.34517453431397,1.21127451000356,25.9084850188786,0.74933173461633,0.674742501084005,20.6666666666667,0.64781776429372,0.583333333333333,3.26363636363636,0.103482577932633,0.093181818181818,2.02222222222222,0,0,16,0.832908554091925,0.75,2,0,0,14,0.277636184697308,0.25
MnMongE+1100,['Orkhon Valley'],The Early Mongols,1100,1200,80000,70000,500,2,5,1,1,,,0,1,1,1,0.1,,0.1,0,0,1,0,0,1,0,1,,0,,0,0,0,0,0,,,16,3,0,0,,,0,0,,0,,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,5,0,0,0,1205,['48T'],['Central Eurasia'],,quasipolity,Naimans,Turkic,Khitan Empire,,Mongolian Empire,,,alliance,,,,,,Great Quriltai,not applicable,yearly,yearly,blood brotherhood ritual,not applicable,not applicable,,drinking gatherings,daily,daily,daily,divination,daily,daily,daily,divination,daily,daily,daily,,4.90308998699194,4.84509804001426,2.69897000433602,2.33333333333333,0.372727272727273,0,3,0,1,MnMongE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",44.7221994107598,0.92589369260494,1.22577249674799,44.4459340297282,0.914942562180866,1.21127451000356,28.6074550232147,0.509670291627212,0.674742501084005,23,0.44062389672836,0.583333333333333,3.63636363636364,0.070385375711154,0.093181818181818,2.02222222222222,0,0,19,0.566516438650748,0.75,2,0,0,15,0.188838812883583,0.25
MnMongE+1200,['Orkhon Valley'],The Early Mongols,1200,1300,80000,70000,500,2,5,1,1,,,0,1,1,1,0.1,,0.1,0,0,1,0,0,1,0,1,,0,,0,0,0,0,0,,,16,3,0,0,,,0,0,,0,,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,5,0,0,0,1205,['48T'],['Central Eurasia'],,quasipolity,Naimans,Turkic,Khitan Empire,,Mongolian Empire,,,alliance,,,,,,Great Quriltai,not applicable,yearly,yearly,blood brotherhood ritual,not applicable,not applicable,,drinking gatherings,daily,daily,daily,divination,daily,daily,daily,divination,daily,daily,daily,,4.90308998699194,4.84509804001426,2.69897000433602,2.33333333333333,0.372727272727273,0,3,0,1,MnMongE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",49.6252893977517,2.25863571312465,1.22577249674799,49.2910320697425,2.23192139972944,1.21127451000356,31.3064250275507,1.24329556598357,0.674742501084005,25.3333333333333,1.07486299685968,0.583333333333333,4.00909090909091,0.171698894303559,0.093181818181818,2.02222222222222,0,0,22,1.38196671024816,0.75,2,0,0,16,0.46065557008272,0.25
MnMongE+1300,['Orkhon Valley'],The Early Mongols,1300,1400,80000,70000,500,2,5,1,1,,,0,1,1,1,0.1,,0.1,0,0,1,0,0,1,0,1,,0,,0,0,0,0,0,,,16,3,0,0,,,0,0,,0,,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,5,0,0,0,1205,['48T'],['Central Eurasia'],,quasipolity,Naimans,Turkic,Khitan Empire,,Mongolian Empire,,,alliance,,,,,,Great Quriltai,not applicable,yearly,yearly,blood brotherhood ritual,not applicable,not applicable,,drinking gatherings,daily,daily,daily,divination,daily,daily,daily,divination,daily,daily,daily,,4.90308998699194,4.84509804001426,2.69897000433602,2.33333333333333,0.372727272727273,0,3,0,1,MnMongE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",54.5283793847437,2.26601936630188,1.22577249674799,54.1361301097567,2.23921772176963,1.21127451000356,34.0053950318867,1.24735999443596,0.674742501084005,27.6666666666667,1.07837680634021,0.583333333333333,4.38181818181818,0.172260191142658,0.093181818181818,2.02222222222222,0,0,25,1.38648446529456,0.75,2,0,0,17,0.46216148843152,0.25
CnYuan+1300,"['Middle Yellow River Valley', 'Orkhon Valley']",Great Yuan,1300,1400,60491000,24000000,800000,8,6,3,7,3270,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,8,0,1,1,1309,"['50S', '48T']","['East Asia', 'Central Eurasia']",Shangdu,unitary state,Chinese,Sino-Tibetan,Mongol Empire,continuity,Early Ming,China,17000000,alliance,,1,1,0.1,,New Year festival,yearly,yearly,yearly,blood covenant,,,,New Year festival,yearly,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,birthday of the great khan,not applicable,yearly,yearly,,7.78169076405591,7.38021124171161,5.90308998699194,5.33333333333333,1,0.888888888888889,4,1,6,CnYuan,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,23.3958980716422,7.78169076405591,0,22.1888372583283,7.38021124171161,0,17.7478257400467,5.90308998699194,0,16.034834437924,5.33333333333333,0,3.00653145711074,1,0,2.67247240632066,0.888888888888889,0,12.026125828443,4,0,3.00653145711074,1,0,18.0391887426645,6
CnYuan+1400,"['Middle Yellow River Valley', 'Orkhon Valley']",Great Yuan,1400,1500,60491000,24000000,800000,8,6,3,7,3270,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,8,0,1,1,1309,"['50S', '48T']","['East Asia', 'Central Eurasia']",Shangdu,unitary state,Chinese,Sino-Tibetan,Mongol Empire,continuity,Early Ming,China,17000000,alliance,,1,1,0.1,,New Year festival,yearly,yearly,yearly,blood covenant,,,,New Year festival,yearly,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,birthday of the great khan,not applicable,yearly,yearly,,7.78169076405591,7.38021124171161,5.90308998699194,5.33333333333333,1,0.888888888888889,4,1,6,CnYuan,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",59.4314693717356,36.9076183648478,15.5633815281118,58.981228149771,35.0034495355712,14.7604224834232,36.7043650362227,27.9976420316781,11.8061799739839,30,25.2953551159353,10.6666666666667,4.75454545454546,4.74287908423787,2,2.02222222222222,4.21589251932256,1.77777777777778,28,18.9715163369515,8,2,4.74287908423787,2,18,28.4572745054272,12
CnQingE+1700,"['Middle Yellow River Valley', 'Orkhon Valley']",Qing,1700,1800,100000000,13100000,668200,7,10,3,7,3270,,1,1,1,,1,1,state salary,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,2000,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1795,"['50S', '48T']","['East Asia', 'Central Eurasia']",Beijing,unitary state,Chinese,Mongolic,Late Ming,continuity,Late Qing,China,13100000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,yearly,yearly,yearly,New Year celebrations,not applicable,yearly,yearly,daily Kunninggong sacrifices,daily,daily,daily,ancestor worship,not applicable,monthly,monthly,,8,7.11727129565576,5.82490647130211,6.66666666666667,0.909090909090909,0.9,4,1,6,CnQingE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",67.2131601357915,40.6459918204578,16,66.3614393914826,36.1610688584004,14.2345425913115,42.6074550232147,29.5948875984347,11.6498129426042,35.3333333333333,33.8716598503815,13.3333333333333,5.75454545454546,4.6188627068702,1.81818181818182,2.91111111111111,4.5726740798015,1.8,32,20.3229959102289,8,3,5.08074897755722,2,24,30.4844938653434,12
CnQingL+1800,"['Middle Yellow River Valley', 'Orkhon Valley']",Late Qing,1800,1900,295000000,11300000,890892,7,10,3,7,3270,,1,1,1,,1,1,state salary,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,80,2000,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1850,"['50S', '48T']","['East Asia', 'Central Eurasia']",Beijing,unitary state,Chinese,Sino-Tibetan,Early Qing,continuity,Republic of China,China,11300000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,yearly,yearly,yearly,New Year celebrations,yearly,yearly,yearly,daily Kunninggong sacrifices,daily,daily,daily,ancestor worship,not applicable,monthly,monthly,,8.46982201597816,7.05307844348342,5.94982505909083,6.66666666666667,0.909090909090909,0.9,4,1,6,CnQingL,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",75.2131601357915,40.3820328773146,25.4094660479345,73.4787106871384,33.6273471926238,21.1592353304503,48.4323614945168,28.3673057942916,17.8494751772725,42,31.7850306662365,20,6.66363636363636,4.3343223635777,2.72727272727273,3.81111111111111,4.29097913994193,2.7,36,19.0710183997419,12,4,4.76775459993547,3,30,28.6065275996128,18
CnQingE+1800,"['Middle Yellow River Valley', 'Orkhon Valley']",Qing,1800,1900,100000000,13100000,668200,7,10,3,7,3270,,1,1,1,,1,1,state salary,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,2000,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1795,"['50S', '48T']","['East Asia', 'Central Eurasia']",Beijing,unitary state,Chinese,Mongolic,Late Ming,continuity,Late Qing,China,13100000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,yearly,yearly,yearly,New Year celebrations,not applicable,yearly,yearly,daily Kunninggong sacrifices,daily,daily,daily,ancestor worship,not applicable,monthly,monthly,,8,7.11727129565576,5.82490647130211,6.66666666666667,0.909090909090909,0.9,4,1,6,CnQingE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,38.1420367994838,24,0,33.9334029588515,21.3518138869673,0,27.7717246227446,17.4747194139063,0,31.7850306662365,20,0,4.3343223635777,2.72727272727273,0,4.29097913994193,2.7,0,19.0710183997419,12,0,4.76775459993547,3,0,28.6065275996128,18
CnQingL+1900,"['Middle Yellow River Valley', 'Orkhon Valley']",Late Qing,1900,2000,334000000,11300000,1039360,7,10,3,7,3270,,1,1,1,,1,1,state salary,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,80,2000,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1850,"['50S', '48T']","['East Asia', 'Central Eurasia']",Beijing,unitary state,Chinese,Sino-Tibetan,Early Qing,continuity,Republic of China,China,11300000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,yearly,yearly,yearly,New Year celebrations,yearly,yearly,yearly,daily Kunninggong sacrifices,daily,daily,daily,ancestor worship,not applicable,monthly,monthly,,8.52374646681156,7.05307844348342,6.01676599888905,6.66666666666667,0.909090909090909,0.9,4,1,6,CnQingL,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",83.6829821517697,20.0530730839496,8.52374646681156,80.5317891306218,16.593161005516,7.05307844348342,54.3821865536076,14.1551193215954,6.01676599888905,48.6666666666667,15.6840838020614,6.66666666666667,7.57272727272727,2.1387387002811,0.909090909090909,4.71111111111111,2.11735131327829,0.9,40,9.41045028123683,4,5,2.35261257030921,1,36,14.1156754218552,6
CnQingL+2000,"['Middle Yellow River Valley', 'Orkhon Valley']",Late Qing,2000,2100,334000000,11300000,1104372,7,10,3,7,3270,,1,1,1,,1,1,state salary,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,80,2000,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1850,"['50S', '48T']","['East Asia', 'Central Eurasia']",Beijing,unitary state,Chinese,Sino-Tibetan,Early Qing,continuity,Republic of China,China,11300000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,yearly,yearly,yearly,New Year celebrations,yearly,yearly,yearly,daily Kunninggong sacrifices,daily,daily,daily,ancestor worship,not applicable,monthly,monthly,,8.52374646681156,7.05307844348342,6.04311538710192,6.66666666666667,0.909090909090909,0.9,4,1,6,CnQingL,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",92.2067286185812,9.18584940133883,8.52374646681156,87.5848675741052,7.60094362847738,7.05307844348342,60.3989525524967,6.51252921200464,6.04311538710192,55.3333333333333,7.18451636816843,6.66666666666667,8.48181818181818,0.979706777477514,0.909090909090909,5.61111111111111,0.969909709702738,0.9,44,4.31070982090106,4,6,1.07767745522526,1,42,6.46606473135159,6
